Break1_chr	Break1_loc	Break_direction	Break2_chr	Break2_loc	MapQ	Read_ID	Classification
NC_000067.7	179495883	<>	NC_000067.7	179495883	41	ERR2680377.107713	Foldback
NC_000075.7	65995877	>>	NC_000075.7	120009800	60	ERR2680377.108019	Chimeric
NC_000076.7	63417838	>>	NC_000076.7	63656006	60	ERR2680377.108071	Pass
NC_000076.7	63688604	>>	NC_000076.7	64086476	60	ERR2680377.108071	Pass
NC_000069.7	7453466	>>	NC_000076.7	60137761	60	ERR2680377.108168	Chimeric
NC_000077.7	69810161	><	NC_000074.7	85498932	60	ERR2680377.108481	Chimeric
NC_000071.7	150603925	<>	NC_000071.7	150601637	60	ERR2680377.108507	Pass
NC_000081.7	98847717	<<	NC_000071.7	145128350	55	ERR2680377.108556	Chimeric
NC_000082.7	96295035	<<	NC_000073.7	59635711	60	ERR2680377.108618	Chimeric
NC_000073.7	125479083	>>	NC_000071.7	27372040	60	ERR2680377.108718	Chimeric
NC_000073.7	130975888	<>	NC_000073.7	130985671	60	ERR2680377.108792	Pass
NC_000078.7	11376245	><	NC_000071.7	99451839	60	ERR2680377.108860	Chimeric
NC_000083.7	13186204	><	NC_000086.8	134896104	54	ERR2680377.109101	Chimeric
NC_000076.7	128199135	<>	NC_000076.7	128199413	60	ERR2680377.109149	Pass
NC_000072.7	88815877	><	NC_000072.7	88815689	60	ERR2680377.109202	Foldback
NC_000081.7	73244449	<<	NC_000081.7	73245102	55	ERR2680377.109309	Pass
NC_000075.7	75252458	<<	NC_000074.7	96552789	41	ERR2680377.109326	Chimeric
NC_000080.7	124913921	<<	NC_000080.7	124373705	60	ERR2680377.109344	Pass
NC_000083.7	45879972	><	NC_000083.7	45884195	60	ERR2680377.109473	Pass
NC_000082.7	16130765	>>	NC_000082.7	17009245	60	ERR2680377.109658	Pass
NC_000082.7	17010153	>>	NC_000082.7	17007256	60	ERR2680377.109658	Pass
NC_000070.7	19585158	>>	NC_000070.7	19580961	60	ERR2680377.109684	Pass
NC_000068.8	156009970	>>	NC_000068.8	156007857	60	ERR2680377.109765	Pass
NC_000080.7	49559940	>>	NC_000080.7	49763001	60	ERR2680377.109859	Pass
NC_000084.7	82603210	<>	NC_000084.7	82603449	60	ERR2680377.110081	Pass
NC_000070.7	152101489	<<	NC_000084.7	12103333	60	ERR2680377.110084	Chimeric
NC_000073.7	18816356	<>	NC_000073.7	18816428	60	ERR2680377.110145	Foldback
NC_000070.7	41012882	><	NC_000070.7	40976837	60	ERR2680377.110342	Pass
NC_000068.8	136623893	<<	NC_000084.7	43801604	60	ERR2680377.110517	Chimeric
NC_000073.7	101438643	<>	NC_000073.7	101438735	60	ERR2680377.110625	Foldback
NC_000076.7	128329711	>>	NC_000082.7	33561662	38	ERR2680377.110726	Chimeric
NC_000072.7	148121559	<<	NC_000072.7	148127431	60	ERR2680377.110850	Pass
NC_000081.7	35937397	>>	NC_000083.7	10429325	56	ERR2680377.110958	Chimeric
NC_005089.1	5325	<<	NC_000067.7	161068873	60	ERR2680377.110990	Chimeric
NC_000080.7	124373705	>>	NC_000080.7	124913921	60	ERR2680377.111017	Pass
NC_000078.7	87520564	<>	NC_000078.7	87519631	60	ERR2680377.111171	Pass
NC_000077.7	75340042	>>	NC_000077.7	75332160	60	ERR2680377.111242	Pass
NC_000070.7	141618398	><	NC_000070.7	141618398	29	ERR2680377.111428	Foldback
NC_000067.7	173163623	><	NC_000067.7	173165119	37	ERR2680377.111471	Pass
NC_000068.8	136623152	<>	NC_000084.7	56720331	60	ERR2680377.111573	Chimeric
NC_000086.8	142499145	>>	NC_000086.8	142476281	60	ERR2680377.111622	Pass
NC_000075.7	68637422	>>	NC_000074.7	106008339	60	ERR2680377.111706	Chimeric
NC_000069.7	156267991	>>	NC_000069.7	156774823	60	ERR2680377.111902	Pass
NC_000068.8	136623165	<<	NC_000082.7	6546814	60	ERR2680377.112001	Chimeric
NC_000074.7	61583804	<>	NC_000086.8	86459518	60	ERR2680377.112008	Chimeric
NC_000077.7	113619735	><	NC_000077.7	113619682	60	ERR2680377.112043	Foldback
NC_000068.8	156019305	>>	NC_000068.8	156014746	60	ERR2680377.112046	Pass
NC_000079.7	35999890	<<	NC_000079.7	36000549	60	ERR2680377.112147	Pass
NC_000077.7	78413000	<<	NC_000073.7	111625103	60	ERR2680377.112323	Chimeric
NC_000075.7	29874144	<<	NC_000075.7	29090541	31	ERR2680377.112653	Pass
NC_000068.8	163710949	<<	NC_000081.7	64577677	60	ERR2680377.112760	Chimeric
NC_000085.7	5540577	<<	NC_000070.7	9629648	58	ERR2680377.113039	Chimeric
NC_000080.7	55749404	<>	NC_000080.7	55749400	60	ERR2680377.113157	Foldback
NC_000070.7	128413783	>>	NC_000070.7	128406438	60	ERR2680377.113298	Pass
NC_000076.7	90952653	<<	NC_000078.7	100173436	59	ERR2680377.113311	Chimeric
NT_187064.1	52888	><	NT_187064.1	53217	48	ERR2680377.113518	Pass
NC_000081.7	82230281	<>	NC_000071.7	132416299	60	ERR2680377.113541	Chimeric
NC_000086.8	36059307	<<	NC_000073.7	45026166	60	ERR2680377.113565	Chimeric
NC_000082.7	32451313	<>	NC_000082.7	32450610	60	ERR2680377.113778	Pass
NC_000070.7	148697126	><	NC_000079.7	6639301	60	ERR2680377.113834	Chimeric
NC_000084.7	65316856	<<	NC_000084.7	65319010	60	ERR2680377.113876	Pass
NC_000076.7	8250646	>>	NC_000076.7	8248035	60	ERR2680377.113914	Pass
NC_000085.7	8743824	<>	NC_000085.7	8744000	60	ERR2680377.114031	Foldback
NC_000075.7	14413315	<>	NC_000070.7	32023191	60	ERR2680377.114160	Chimeric
NC_000084.7	57429402	<<	NC_000086.8	55631666	60	ERR2680377.114203	Chimeric
NC_000086.8	55631598	>>	NC_000084.7	57429415	60	ERR2680377.114204	Chimeric
NC_000081.7	37366858	>>	NC_000067.7	74290410	60	ERR2680377.114454	Chimeric
NC_000077.7	74812118	<<	NC_000077.7	74813289	60	ERR2680377.114548	Pass
NC_000080.7	124373705	>>	NC_000080.7	124913920	60	ERR2680377.114590	Pass
NC_000081.7	100128490	>>	NC_000081.7	99945651	56	ERR2680377.114595	Pass
NC_000083.7	47812206	<<	NC_000068.8	5039894	60	ERR2680377.114647	Chimeric
NC_000078.7	71009928	<>	NC_000086.8	93579079	60	ERR2680377.114665	Chimeric
NC_000080.7	124373679	>>	NC_000080.7	124913921	60	ERR2680377.114673	Pass
NC_000072.7	124718002	><	NC_000079.7	53486666	60	ERR2680377.114823	Chimeric
NC_000068.8	110586537	><	NC_000081.7	80693493	34	ERR2680377.114905	Chimeric
NC_000075.7	106926892	<<	NC_000072.7	113366543	60	ERR2680377.115086	Chimeric
NC_000070.7	134942647	<>	NC_000070.7	134942729	60	ERR2680377.115271	Foldback
NC_000075.7	121678183	><	NC_000083.7	26841637	60	ERR2680377.115487	Chimeric
NC_000068.8	158224423	<>	NC_000081.7	31595794	60	ERR2680377.115534	Chimeric
NC_000068.8	155853086	<>	NC_000068.8	155853267	60	ERR2680377.115741	Foldback
NC_000069.7	131337344	<>	NC_000069.7	131337416	60	ERR2680377.115860	Foldback
NC_000069.7	51994711	>>	NC_000069.7	51946620	60	ERR2680377.115873	Pass
NC_000067.7	167983646	>>	NC_000067.7	167982075	60	ERR2680377.115956	Pass
NC_000072.7	113735877	<>	NC_000072.7	113739749	60	ERR2680377.116105	Pass
NC_000078.7	98758281	<<	NC_000078.7	98760880	60	ERR2680377.116117	Pass
NC_000078.7	98758281	<<	NC_000078.7	98760881	60	ERR2680377.116117	Pass
NC_000075.7	114673215	>>	NC_000068.8	113606900	60	ERR2680377.116148	Chimeric
NC_000083.7	63394232	<<	NC_000083.7	63397561	60	ERR2680377.116217	Pass
NC_000071.7	139004249	<>	NC_000071.7	139028188	30	ERR2680377.116225	Pass
NC_000075.7	111948271	>>	NC_000075.7	120009937	60	ERR2680377.116561	Chimeric
NC_000067.7	75189569	<>	NC_000080.7	102139507	60	ERR2680377.116594	Chimeric
NC_000077.7	102995624	<>	NC_000077.7	103002429	60	ERR2680377.116596	Pass
NC_000084.7	6332594	<<	NC_000068.8	96419100	60	ERR2680377.116774	Chimeric
NC_000081.7	93234287	><	NC_000083.7	86964141	60	ERR2680377.116782	Chimeric
NC_000077.7	78732827	<<	NC_000071.7	121347023	34	ERR2680377.116842	Chimeric
NC_000073.7	44509438	><	NC_000073.7	44509393	12	ERR2680377.117114	Foldback
NC_000077.7	6569102	><	NC_000077.7	6568533	60	ERR2680377.117344	Pass
NC_000075.7	21396399	>>	NC_000075.7	21395451	60	ERR2680377.117476	Pass
NC_000083.7	59307697	><	NC_000069.7	103825237	18	ERR2680377.117498	Chimeric
NC_000072.7	113146556	><	NC_000075.7	41374753	60	ERR2680377.117645	Chimeric
NC_000077.7	6292516	<>	NC_000077.7	6299146	60	ERR2680377.117699	Pass
NC_000082.7	72471804	<>	NC_000082.7	72472054	60	ERR2680377.117739	Pass
NC_000068.8	135062635	<<	NC_000068.8	134628552	60	ERR2680377.118032	Pass
NC_000084.7	38057288	>>	NC_000084.7	38055521	60	ERR2680377.118181	Pass
NC_000074.7	115618360	<>	NC_000068.8	136623164	60	ERR2680377.118198	Chimeric
NC_000080.7	93253322	>>	NC_000080.7	93564114	51	ERR2680377.118235	Pass
NC_000080.7	93564318	>>	NC_000080.7	94123128	51	ERR2680377.118235	Pass
NC_000070.7	3835602	>>	NC_000078.7	82046601	43	ERR2680377.118296	Chimeric
NC_000077.7	63861467	><	NC_000077.7	63861180	60	ERR2680377.118460	Pass
NC_000080.7	52436111	>>	NC_000074.7	70077197	60	ERR2680377.118667	Chimeric
NC_000077.7	30064789	><	NC_000077.7	30064823	60	ERR2680377.118752	Foldback
NC_000082.7	30999412	>>	NC_000072.7	72294089	16	ERR2680377.119019	Chimeric
NC_000080.7	20753394	<>	NC_000076.7	56265591	60	ERR2680377.119027	Chimeric
NC_000077.7	36848619	<<	NC_000077.7	36849738	60	ERR2680377.119353	Pass
NC_000082.7	6588171	<<	NC_000082.7	6590916	34	ERR2680377.119417	Pass
NC_000084.7	82590947	<<	NC_000082.7	93661559	60	ERR2680377.119466	Chimeric
NC_000083.7	30712975	>>	NC_000083.7	30709759	60	ERR2680377.119517	Pass
NC_000081.7	94993339	<>	NC_000081.7	94993522	60	ERR2680377.119521	Foldback
NC_000083.7	91163474	>>	NC_000083.7	91162071	60	ERR2680377.119688	Pass
NC_000080.7	54491359	><	NC_000074.7	65062149	60	ERR2680377.119701	Chimeric
NC_000074.7	129166148	<>	NC_000082.7	67371397	60	ERR2680377.119755	Chimeric
NC_000078.7	83770455	<>	NC_000069.7	138302820	35	ERR2680377.119780	Chimeric
NC_000073.7	141438212	><	NC_000073.7	141437833	60	ERR2680377.119896	Pass
NC_000070.7	58791615	>>	NC_000070.7	58790511	60	ERR2680377.120333	Pass
NC_000075.7	29090553	>>	NC_000075.7	29874139	60	ERR2680377.120399	Pass
NC_000074.7	115438991	>>	NC_000074.7	116078375	60	ERR2680377.120421	Pass
NC_000083.7	45853191	><	NC_000083.7	45853344	16	ERR2680377.120472	Foldback
NC_000075.7	67124836	>>	NC_000076.7	76089742	60	ERR2680377.120777	Chimeric
NC_000085.7	10489922	<>	NC_000081.7	82085931	28	ERR2680377.120845	Chimeric
NC_000068.8	29921392	><	NC_000068.8	29921358	15	ERR2680377.120906	Foldback
NC_000080.7	124913921	<<	NC_000080.7	124373701	60	ERR2680377.120933	Pass
NC_000076.7	61575199	><	NC_000076.7	61575100	60	ERR2680377.121022	Foldback
NC_000077.7	69661935	>>	NC_000068.8	136623162	60	ERR2680377.121076	Chimeric
NC_000083.7	26874637	<>	NC_000083.7	26874944	60	ERR2680377.121147	Pass
NC_000073.7	61998979	<<	NC_000077.7	78217587	60	ERR2680377.121159	Chimeric
NC_000080.7	124914126	<<	NC_000080.7	124373705	60	ERR2680377.121173	Pass
NC_000072.7	8950309	>>	NC_000072.7	9247083	60	ERR2680377.121364	Pass
NC_000077.7	69885376	<>	NC_005089.1	14934	60	ERR2680377.121789	Chimeric
NC_000067.7	93652975	<>	NC_000067.7	93677657	60	ERR2680377.121988	Pass
NC_000071.7	45595219	>>	NC_000073.7	45353795	60	ERR2680377.122101	Chimeric
NC_000068.8	73741406	>>	NC_000071.7	49445634	60	ERR2680377.122253	Chimeric
NC_000082.7	8345388	>>	NC_000082.7	8340417	60	ERR2680377.122304	Pass
NC_000083.7	87754291	><	NC_000082.7	38066440	60	ERR2680377.122315	Chimeric
NC_000074.7	9283106	>>	NC_000074.7	9820085	60	ERR2680377.122523	Pass
NC_000068.8	155341063	><	NC_000068.8	155341032	60	ERR2680377.122694	Foldback
NC_000083.7	24905164	><	NC_000083.7	24905125	60	ERR2680377.122831	Foldback
NC_000084.7	69808535	<>	NC_000084.7	69817222	27	ERR2680377.122846	Pass
NC_000080.7	5373466	>>	NC_000080.7	5650543	60	ERR2680377.122909	Pass
NC_000077.7	19883787	>>	NC_000069.7	108464895	18	ERR2680377.122936	Chimeric
NC_000077.7	95661429	><	NC_000077.7	95661382	60	ERR2680377.123245	Foldback
NC_000070.7	129036329	<<	NC_000083.7	88855525	60	ERR2680377.123378	Chimeric
NC_000083.7	88855000	<<	NC_000083.7	88858061	60	ERR2680377.123378	Pass
NC_000082.7	57427034	<<	NC_000082.7	57143908	22	ERR2680377.123433	Pass
NC_000084.7	68403226	><	NC_000084.7	68403003	24	ERR2680377.123514	Pass
NC_000070.7	77976689	<>	NC_000070.7	77978044	55	ERR2680377.123521	Pass
NC_000075.7	109660747	><	NC_000075.7	109660569	60	ERR2680377.123603	Foldback
NC_000069.7	106410959	>>	NC_000074.7	55512777	60	ERR2680377.123719	Chimeric
NC_000083.7	80976706	<>	NC_000068.8	136623198	60	ERR2680377.123732	Chimeric
NC_000085.7	55455187	<>	NC_000074.7	55512015	60	ERR2680377.123770	Chimeric
NC_000078.7	110576718	<>	NC_000069.7	116454157	60	ERR2680377.124120	Chimeric
NC_000082.7	67369869	><	NC_000082.7	6899169	60	ERR2680377.124239	Chimeric
NC_000073.7	54599346	<<	NC_000073.7	54599983	49	ERR2680377.124369	Pass
NC_000072.7	124787856	<>	NC_000072.7	124786975	60	ERR2680377.124448	Pass
NC_000076.7	11334920	<<	NC_000083.7	10430500	60	ERR2680377.124482	Chimeric
NC_000083.7	25424544	>>	NC_000083.7	25422500	13	ERR2680377.124663	Pass
NC_000083.7	25422817	>>	NC_000083.7	25421670	13	ERR2680377.124663	Pass
NC_000079.7	59085355	>>	NC_000079.7	59084963	55	ERR2680377.124689	Pass
NC_000084.7	34478206	><	NC_000084.7	34478458	60	ERR2680377.124776	Pass
NC_000082.7	41709275	<<	NC_000082.7	41353895	60	ERR2680377.124946	Pass
NC_000084.7	77866429	<>	NC_000084.7	77866807	60	ERR2680377.124999	Pass
NC_000067.7	55285043	<>	NC_000072.7	24661351	60	ERR2680377.125000	Chimeric
NC_005089.1	3935	<<	NC_000082.7	45544620	60	ERR2680377.125097	Chimeric
NC_000068.8	164266423	<>	NC_000071.7	143407059	60	ERR2680377.125306	Chimeric
NC_000076.7	81444409	<<	NC_000073.7	90968706	60	ERR2680377.125365	Chimeric
NC_000069.7	105875835	<<	NC_000078.7	80557016	60	ERR2680377.125419	Chimeric
NC_000067.7	66814050	<<	NC_000067.7	66815076	60	ERR2680377.125519	Pass
NC_000068.8	75022201	>>	NC_000068.8	148517612	41	ERR2680377.125562	Chimeric
NC_000077.7	68992444	><	NC_000077.7	68988053	60	ERR2680377.125635	Pass
NC_000086.8	135738803	<>	NC_000086.8	135737916	60	ERR2680377.125679	Pass
NC_000075.7	41920680	<<	NC_000075.7	41924692	60	ERR2680377.125899	Pass
NC_000077.7	78217443	><	NC_000077.7	78215790	60	ERR2680377.125943	Pass
NC_000069.7	95547145	<<	NC_000068.8	91491175	60	ERR2680377.126199	Chimeric
NC_000081.7	100768132	<<	NC_000073.7	78167228	60	ERR2680377.126238	Chimeric
NC_000068.8	74351983	<<	NC_000068.8	74403899	60	ERR2680377.126255	Pass
NC_000085.7	5325192	><	NC_000078.7	109607329	60	ERR2680377.126502	Chimeric
NC_000084.7	25614913	>>	NC_000077.7	11904742	50	ERR2680377.126538	Chimeric
NC_000077.7	118704895	><	NC_000077.7	118381579	60	ERR2680377.126549	Pass
NC_000078.7	59052103	><	NC_000078.7	59032955	60	ERR2680377.126763	Pass
NC_000084.7	12890749	><	NC_000080.7	30280714	57	ERR2680377.126836	Chimeric
NC_000082.7	37985944	>>	NC_000084.7	61119270	60	ERR2680377.126903	Chimeric
NC_000077.7	75656384	>>	NC_000071.7	23711166	60	ERR2680377.126910	Chimeric
NC_000085.7	38388503	>>	NC_000076.7	50648877	25	ERR2680377.127030	Chimeric
NC_000078.7	87010528	><	NC_000078.7	87009838	60	ERR2680377.127124	Pass
NC_000073.7	58932177	>>	NC_000073.7	58929342	60	ERR2680377.127237	Pass
NC_000075.7	57509055	>>	NC_000077.7	36710756	31	ERR2680377.127266	Chimeric
NC_000077.7	7124856	<>	NC_000077.7	7124961	60	ERR2680377.127818	Foldback
NC_000077.7	43636253	><	NC_000077.7	43638786	60	ERR2680377.127920	Pass
NC_000082.7	17582244	<<	NC_000077.7	86585609	60	ERR2680377.128134	Chimeric
NC_000084.7	35698012	><	NC_000067.7	92943651	60	ERR2680377.128767	Chimeric
NC_000080.7	10654640	<<	NC_000077.7	20774225	60	ERR2680377.129065	Chimeric
NC_000081.7	54886354	<<	NC_000081.7	54889891	60	ERR2680377.129141	Pass
NC_000079.7	43110091	<<	NC_000079.7	42863326	60	ERR2680377.129388	Pass
NC_000073.7	125969586	><	NC_000073.7	125970078	60	ERR2680377.129395	Pass
NC_000069.7	13537853	>>	NC_000069.7	13841882	60	ERR2680377.129672	Pass
NC_000069.7	13842135	>>	NC_000069.7	14104784	60	ERR2680377.129672	Pass
NC_000067.7	86443028	<<	NC_000067.7	86450318	49	ERR2680377.129685	Pass
NC_000078.7	72259285	><	NC_000078.7	72264254	60	ERR2680377.129771	Pass
NC_000086.8	135737557	<>	NC_000086.8	135738807	60	ERR2680377.129881	Pass
NC_000075.7	70481855	<>	NC_000075.7	70484028	60	ERR2680377.129912	Pass
NC_000075.7	66415655	<>	NC_000072.7	31288896	60	ERR2680377.129995	Chimeric
NC_000082.7	6305679	<<	NC_000082.7	5703729	60	ERR2680377.130027	Pass
NC_000068.8	24804212	>>	NC_000068.8	24801916	60	ERR2680377.130140	Pass
NC_000077.7	17001942	<<	NC_000069.7	131349429	60	ERR2680377.130473	Chimeric
NC_000075.7	59525750	<<	NC_000074.7	55513906	60	ERR2680377.130487	Chimeric
NC_000068.8	136624323	>>	NC_000075.7	79662698	60	ERR2680377.130569	Chimeric
NC_000073.7	6798786	<<	NC_000073.7	6799629	60	ERR2680377.130576	Pass
NC_000075.7	75493794	<>	NC_000068.8	136623183	60	ERR2680377.130766	Chimeric
NC_000086.8	97364040	<<	NC_000086.8	97364737	60	ERR2680377.130944	Pass
NC_000076.7	108773072	<<	NC_000076.7	108776597	60	ERR2680377.131167	Pass
NC_000076.7	108775197	<>	NC_005089.1	10917	60	ERR2680377.131167	Chimeric
NC_000076.7	81098248	<>	NC_000076.7	81098347	60	ERR2680377.131289	Foldback
NC_000072.7	5051259	<>	NC_000085.7	5851266	60	ERR2680377.131497	Chimeric
NC_000074.7	61127801	<<	NC_000083.7	17742134	40	ERR2680377.131638	Chimeric
NC_000085.7	5341424	><	NC_000085.7	5336978	60	ERR2680377.131735	Pass
NC_000077.7	36521883	<<	NC_000080.7	103214946	60	ERR2680377.131895	Chimeric
NC_000085.7	7175697	<>	NC_000085.7	7175793	60	ERR2680377.131903	Foldback
NC_000082.7	36927910	><	NC_000068.8	156230788	10	ERR2680377.131984	Chimeric
NC_000068.8	157156725	<>	NC_000084.7	82602840	60	ERR2680377.132128	Chimeric
NC_000073.7	63537405	><	NC_000073.7	63537419	60	ERR2680377.132203	Foldback
NC_000069.7	87834185	><	NC_000069.7	87832544	60	ERR2680377.132260	Pass
NC_000073.7	126376200	<>	NC_000073.7	126376241	60	ERR2680377.132482	Foldback
NC_000081.7	98849218	>>	NC_000084.7	74912278	54	ERR2680377.132512	Chimeric
NC_000081.7	81246705	><	NC_000081.7	81246631	60	ERR2680377.132696	Foldback
NC_000082.7	18631068	<<	NC_000077.7	65679114	60	ERR2680377.132714	Chimeric
NC_000077.7	96938300	<<	NC_000077.7	96939906	60	ERR2680377.132717	Pass
NC_000086.8	93583832	><	NC_000086.8	93580572	60	ERR2680377.132800	Pass
NC_000076.7	98861869	><	NC_000072.7	119898587	60	ERR2680377.132848	Chimeric
NC_000071.7	18494551	><	NC_000071.7	18476971	60	ERR2680377.132957	Pass
NC_000086.8	135738801	<>	NC_000086.8	135737575	60	ERR2680377.133037	Pass
NC_000075.7	102499038	<>	NC_000076.7	128240488	19	ERR2680377.133389	Chimeric
NC_000068.8	75704682	>>	NC_000068.8	75703398	60	ERR2680377.133492	Pass
NC_000076.7	48975852	<>	NC_000076.7	48975998	60	ERR2680377.133613	Foldback
NC_000082.7	64722397	><	NC_000082.7	64721948	46	ERR2680377.133697	Pass
NC_000086.8	135732865	<>	NC_000086.8	135737827	60	ERR2680377.133731	Pass
NC_000069.7	136428819	>>	NC_000069.7	136415650	60	ERR2680377.134001	Pass
NC_000080.7	116761691	<<	NC_000080.7	115789747	60	ERR2680377.134225	Pass
NC_000080.7	115606941	<<	NC_000080.7	115370710	60	ERR2680377.134225	Pass
NC_000072.7	42669977	><	NC_000082.7	6423102	60	ERR2680377.134574	Chimeric
NC_000073.7	61179794	<>	NC_000073.7	61179970	60	ERR2680377.134655	Foldback
NC_000073.7	25100605	><	NC_000073.7	25100607	60	ERR2680377.134771	Foldback
NC_000078.7	69853998	><	NC_000078.7	69852097	60	ERR2680377.134788	Pass
NC_000079.7	99641196	>>	NC_000079.7	99638276	60	ERR2680377.134831	Pass
NC_000076.7	69860366	<<	NC_000076.7	69862971	60	ERR2680377.134922	Pass
NC_000079.7	34259491	><	NC_000079.7	34259371	40	ERR2680377.135168	Foldback
NC_000073.7	24996893	><	NC_000085.7	3961740	60	ERR2680377.135199	Chimeric
NC_000085.7	22308569	><	NC_000075.7	121678180	60	ERR2680377.135292	Chimeric
NC_000078.7	105667939	><	NC_000071.7	26029259	60	ERR2680377.135599	Chimeric
NC_000070.7	24898101	<>	NC_000070.7	24902846	60	ERR2680377.136192	Pass
NC_000078.7	100171930	<<	NC_000078.7	100174942	60	ERR2680377.136365	Pass
NC_000067.7	128079478	<>	NC_000067.7	9689774	60	ERR2680377.136449	Chimeric
NC_000067.7	134003359	><	NC_000067.7	134003923	60	ERR2680377.136558	Pass
NC_000070.7	151914873	<<	NC_000070.7	151670934	60	ERR2680377.136810	Pass
NC_000079.7	92211780	<<	NC_000082.7	74624726	60	ERR2680377.136989	Chimeric
NC_000069.7	14146262	<<	NC_000069.7	13842162	60	ERR2680377.137035	Pass
NC_000069.7	13841889	<<	NC_000069.7	13538473	60	ERR2680377.137035	Pass
NC_000078.7	11376249	><	NC_000082.7	94786494	60	ERR2680377.137068	Chimeric
NC_000082.7	94771813	<<	NC_000082.7	94791309	60	ERR2680377.137068	Pass
NC_000084.7	35805491	<>	NC_000084.7	35713182	30	ERR2680377.137234	Pass
NC_000070.7	11318092	>>	NC_000070.7	11307887	60	ERR2680377.137363	Pass
NC_000068.8	158607765	><	NC_000068.8	158607672	60	ERR2680377.137372	Foldback
NC_000068.8	24495044	><	NC_000080.7	67086778	60	ERR2680377.137517	Chimeric
NC_000078.7	70324446	<<	NC_000078.7	70325391	60	ERR2680377.137677	Pass
NC_000070.7	132872517	<<	NC_000070.7	132874793	60	ERR2680377.137812	Pass
NC_000079.7	43012005	<>	NC_000071.7	132220833	60	ERR2680377.137872	Chimeric
NC_000074.7	127003547	>>	NC_000068.8	135315996	60	ERR2680377.137877	Chimeric
NC_000077.7	78483914	<<	NC_000077.7	78490865	60	ERR2680377.137940	Pass
NC_000067.7	134128398	><	NC_000067.7	134128272	60	ERR2680377.137943	Foldback
NC_000082.7	17324854	<>	NC_000082.7	17325042	60	ERR2680377.138176	Foldback
NC_000070.7	148245099	<>	NC_000070.7	148231714	34	ERR2680377.138470	Pass
NC_000077.7	22235612	<<	NC_000077.7	22018501	15	ERR2680377.138509	Pass
NC_000077.7	98264505	>>	NC_000081.7	72902076	60	ERR2680377.138709	Chimeric
NC_000076.7	85779738	>>	NC_000068.8	115684720	60	ERR2680377.138877	Chimeric
NC_000072.7	96092735	>>	NC_000072.7	96500290	60	ERR2680377.138956	Pass
NC_000078.7	40521160	><	NC_000078.7	40520930	60	ERR2680377.138964	Pass
NC_000080.7	4135366	>>	NC_000080.7	4134296	60	ERR2680377.138966	Pass
NC_000076.7	127061993	><	NC_000068.8	155476631	60	ERR2680377.139172	Chimeric
NC_000074.7	121394999	<>	NC_000074.7	121394999	60	ERR2680377.139298	Foldback
NC_000083.7	57543732	><	NC_000083.7	57542366	60	ERR2680377.139601	Pass
NC_000076.7	126839012	<<	NC_000070.7	8607590	60	ERR2680377.139679	Chimeric
NC_000070.7	8603959	<<	NC_000068.8	93030650	60	ERR2680377.139679	Chimeric
NC_000072.7	106158641	<<	NC_000072.7	105901785	60	ERR2680377.139705	Pass
NC_000079.7	110196731	>>	NC_000079.7	110397035	60	ERR2680377.139751	Pass
NC_000084.7	25812541	><	NC_000084.7	39126675	60	ERR2680377.139884	Chimeric
NC_000072.7	148134561	>>	NC_000075.7	14740669	60	ERR2680377.140273	Chimeric
NC_000069.7	87900425	><	NC_000069.7	87897593	60	ERR2680377.140359	Pass
NC_000067.7	63164135	<>	NC_000067.7	63164712	60	ERR2680377.140361	Pass
NC_000081.7	81597019	<>	NC_000081.7	81597107	60	ERR2680377.140407	Foldback
NC_000067.7	178073691	>>	NC_000067.7	178072211	60	ERR2680377.140418	Pass
NC_000068.8	136623893	<<	NC_000078.7	30260383	49	ERR2680377.140463	Chimeric
NC_000073.7	6293661	><	NC_000082.7	46218957	60	ERR2680377.140538	Chimeric
NC_000082.7	46218957	><	NC_000073.7	6293661	60	ERR2680377.140541	Chimeric
NC_000070.7	129005846	><	NC_000073.7	44516895	60	ERR2680377.140737	Chimeric
NC_000077.7	75601538	<<	NC_000077.7	75602097	60	ERR2680377.140760	Pass
NC_000075.7	120227053	<<	NC_000075.7	120228285	60	ERR2680377.140794	Pass
NC_000075.7	72819916	><	NC_000074.7	46490597	60	ERR2680377.140823	Chimeric
NC_000077.7	7126754	<>	NC_000077.7	7128269	60	ERR2680377.140948	Pass
NC_000069.7	157737407	><	NC_000069.7	157717847	60	ERR2680377.141060	Pass
NC_000081.7	55707417	>>	NC_000078.7	111649931	60	ERR2680377.141377	Chimeric
NC_000074.7	94767140	<>	NC_000072.7	113111030	60	ERR2680377.141397	Chimeric
NC_000070.7	108087473	><	NC_000070.7	108087550	23	ERR2680377.141402	Foldback
NC_000067.7	125800084	<>	NC_000067.7	125801104	60	ERR2680377.141442	Pass
NC_000078.7	111638313	><	NC_000078.7	111637994	51	ERR2680377.141506	Pass
NC_000070.7	141210555	<>	NC_000069.7	61145909	60	ERR2680377.141582	Chimeric
NC_000082.7	96268926	<<	NC_000074.7	48689278	60	ERR2680377.141626	Chimeric
NC_000076.7	39962686	>>	NC_000076.7	39960336	60	ERR2680377.141659	Pass
NC_000075.7	108132094	><	NC_000083.7	24859725	60	ERR2680377.141793	Chimeric
NC_000085.7	3577941	><	NC_000071.7	58000674	60	ERR2680377.141831	Chimeric
NC_000078.7	51683676	<<	NC_000078.7	51688444	60	ERR2680377.141901	Pass
NC_000085.7	5851733	<<	NC_000076.7	67972413	19	ERR2680377.141923	Chimeric
